,FTSE_100,FTSE_100_Company_Beta
0,ABDN_L,0.1532654908608507
1,RMV_L,0.06399056785863898
2,RS1_L,0.13323139041766613
3,BA_L,-0.07195598358492607
4,RTO_L,-0.20234797851190167
5,FRAS_L,0.17650512017112346
6,EXPN_L,0.2437750677549307
7,SPX_L,0.042434990932960055
8,AHT_L,0.20327134429043447
9,ENT_L,0.15607044102504422
10,HLN_L,0.35425108952528583
11,ANTO_L,0.22702534674775843
12,BATS_L,0.029959308341266387
13,SSE_L,0.10653897879353857
14,CCH_L,-0.11401115140552084
15,SHEL_L,0.1449657858515787
16,VOD_L,1.061097177519936
17,MNG_L,0.1533598385102552
18,RR_L,-0.27482348453712274
19,PSN_L,0.21028363304772835
20,STJ_L,0.11599383202955908
21,SDR_L,0.1582141490261069
22,AUTO_L,0.12635356306330872
23,CPG_L,-0.09006644154426058
24,SMT_L,0.02172441870593528
25,AAF_L,0.07030470677994505
26,SMIN_L,0.01224294536746659
27,CNA_L,-0.004469888670768018
28,PRU_L,0.15480230973517883
29,TSCO_L,0.09145064138678544
