,CAC_40,CAC_40_Company_Beta
0,RI_PA,0.1323457829671727
1,ORA_PA,0.1055631363789841
2,CA_PA,0.1541773088929467
3,ML_PA,0.3197835977518376
4,VIE_PA,0.2944775490146563
5,ACA_PA,0.3079769501257922
6,MC_PA,0.3528103227789758
7,SGO_PA,0.4738919851131946
8,CAP_PA,0.2535727197545773
9,WLN_PA,0.3443911706568578
10,KER_PA,0.2542140004145476
11,ATO_PA,0.6396164961505876
12,ENGI_PA,0.1264319088248603
13,AIR_PA,0.1292580151990395
14,BN_PA,0.0749995708048794
15,DG_PA,0.2796157135525083
16,EN_PA,0.2378010412655491
17,HO_PA,0.0648856387095062
18,BNP_PA,0.4002332754913503
19,SW_PA,0.0353269507743471
20,OR_PA,0.1793541000955237
21,GLE_PA,0.2223508712974554
22,LR_PA,0.1332286411540084
23,AI_PA,0.3195833186829602
24,VIV_PA,0.281642977723776
25,SU_PA,0.1241246454736888
26,SAN_PA,0.0612779042084515
27,AC_PA,0.2444105183360157
