name;ticker;Weighting %
Bitcoin;BTC;4,17 %
Ethereum;ETH;2,96 %
Ripple;XRP;6,42 %
Bitcoin Cash;BCH;8,99 %
Litecoin;LTC;3,62 %
Eos;EOS;2,96 %
Ox;ZRX;1,18 %
Adex;ADX;1,27 %
Cardano;ADA;1,37 %
ChainLink;LINK;1,72 %
BitTorrent;BTT;5,36 %
Chiliz;CHZ;5,68 %
Cosmos;ATOM;1,43 %
Coss;COSS;3,32 %
Crypto.com Coin;CRO/MCO;3,23 %
Dai;DAI;3,18 %
Dash;DASH;4,72 %
Decred;DCR;2,04 %
Decentraland;MANA;3,58 %
Devery;EVE;2,21 %
DigiByte;DGB;0,90 %
Dogecoin;DOGE;2,92 %
DomRaider;DRT;3,27 %
Elrond;ERD;3,63 %
Enjin coin;ENJ;6,22 %
Ethereum Classic;ETC;1,46 %
FidentiaX;FDX;4,40 %
Holo;HOT;1,52 %
Horizen;ZEN;2,92 %
Monero;XMR;3,35 %
Nano;NANO;
NapoleonX;NPX;
Nem;XEM;
Polkadot;DOT;
Pundix;NPXS/NPXSXEM;
Qtum;QTUM;
Stellar;XLM;
VeChain;VET;
Ultra;UOS;
Tron;TRX;
WeTrust;TRST;
Zcoin;XZC;
YFI;Year Finance;
Zynecoin;ZYN;
Verge;XVG;
Loki;LOKI;
Icx;ICON;
Bitcoin sv;BSV;
Bitcoin Gold;BTG;
